Station_Names,YEAR,Month,Temprature,Rainfall
Cox's Bazar,1952,11,31.8,37
Cox's Bazar,1952,12,28.4,0
Dinajpur,1952,1,29.4,0
Dinajpur,1952,2,33.3,0
Dinajpur,1952,3,33.1,5
Dinajpur,1952,4,37.2,115
Dinajpur,1952,5,34.4,290
Dinajpur,1952,6,37.2,372
Dinajpur,1952,7,34.4,637
Dinajpur,1952,8,34.4,153
Dinajpur,1952,9,35.6,511
Dinajpur,1952,10,33.9,97
Dinajpur,1952,11,32.8,0
Dinajpur,1952,12,27.8,0
Faridpur,1952,1,26.6,0
Faridpur,1952,2,33.3,0
Faridpur,1952,3,34.2,18
Faridpur,1952,4,36.9,167
Faridpur,1952,5,35.3,297
Faridpur,1952,6,35.8,220
Faridpur,1952,7,34.4,468
Faridpur,1952,8,33.1,338
Faridpur,1952,9,34.1,290
Faridpur,1952,10,34.1,93
Faridpur,1952,11,33.9,22
Faridpur,1952,12,26.7,0
Jessore,1952,1,29.4,0
Jessore,1952,2,36.7,0
Jessore,1952,3,36.2,38
Jessore,1952,4,37.5,123
Jessore,1952,5,36.7,95
Jessore,1952,6,36.1,275
Jessore,1952,7,34.4,280
Jessore,1952,8,34,207
Jessore,1952,9,35.2,210
Jessore,1952,10,35.2,117
Jessore,1952,11,34.8,10
Jessore,1952,12,28.8,0
Khulna,1952,1,30.6,0
Khulna,1952,2,36.2,0
Khulna,1952,3,34.5,6
Khulna,1952,4,37.2,81
Khulna,1952,5,35.2,218
Khulna,1952,6,36.1,323
Khulna,1952,7,34.1,496
Khulna,1952,8,33.6,122
Khulna,1952,9,34.3,228
Khulna,1952,10,33.9,158
Khulna,1952,11,33.3,15
Khulna,1952,12,29.1,3
Maijdee Court,1952,1,30,3
Maijdee Court,1952,2,33.3,0
Maijdee Court,1952,3,33.2,35
Maijdee Court,1952,4,35.5,303
Maijdee Court,1952,5,34.2,260
Maijdee Court,1952,6,34.8,798
Maijdee Court,1952,7,32.3,740
Maijdee Court,1952,8,32.2,448
Maijdee Court,1952,9,32.2,363
Maijdee Court,1952,10,32.9,399
Maijdee Court,1952,11,32.2,113
Maijdee Court,1952,12,27.2,0
Mymensingh,1952,1,27.2,0
Mymensingh,1952,2,33.2,0
Mymensingh,1952,3,33.8,25
Mymensingh,1952,4,37.7,96
Mymensingh,1952,5,34.3,196
Mymensingh,1952,6,36.6,166
Mymensingh,1952,7,33.2,371
Mymensingh,1952,8,33.1,271
Mymensingh,1952,9,32.8,468
Mymensingh,1952,10,33.2,254
Mymensingh,1952,11,32.6,56
Mymensingh,1952,12,26.9,0
Satkhira,1952,1,29.4,0
Satkhira,1952,2,32,28
Satkhira,1952,3,35,5
Satkhira,1952,4,37.6,147
Satkhira,1952,5,36.6,84
Satkhira,1952,6,37.2,217
Satkhira,1952,7,33.8,522
Satkhira,1952,8,32.7,293
Satkhira,1952,9,34.2,134
Satkhira,1952,10,33.9,161
Satkhira,1952,11,31.4,9
Satkhira,1952,12,31.1,0
Srimangal,1952,1,28.8,0
Srimangal,1952,2,34.1,0
Srimangal,1952,3,35.3,91
Srimangal,1952,4,43.3,111
Srimangal,1952,5,35.5,249
Srimangal,1952,6,35.2,319
Srimangal,1952,7,34.5,520
Srimangal,1952,8,34.3,495
Srimangal,1952,9,33.4,209
Srimangal,1952,10,37.8,298
Srimangal,1952,11,37.3,66
Srimangal,1952,12,27.1,0
Barisal,1953,1,30,10
Barisal,1953,2,32.8,3
Barisal,1953,3,35,3
Barisal,1953,4,36.7,46
Barisal,1953,5,36.1,339
Barisal,1953,6,35.6,715
Barisal,1953,7,35,526
Barisal,1953,8,36.7,167
Barisal,1953,9,35,174
Barisal,1953,10,33.1,45
Barisal,1953,11,30.6,0
Barisal,1953,12,29.4,0
Bogra,1953,1,25.8,8
Bogra,1953,2,29.7,9
Bogra,1953,3,34.2,90
Bogra,1953,4,35.9,32
Bogra,1953,5,34.1,146
Bogra,1953,6,33.5,140
Bogra,1953,7,32,57
Bogra,1953,8,32.2,128
Bogra,1953,9,32.5,351
Bogra,1953,10,32.1,93
Bogra,1953,11,30.7,4
Bogra,1953,12,28.1,0
Chittagong (IAP-Patenga),1953,1,28.6,0
Chittagong (IAP-Patenga),1953,2,31.7,0
Chittagong (IAP-Patenga),1953,3,32.5,5
Chittagong (IAP-Patenga),1953,4,33.9,57
Chittagong (IAP-Patenga),1953,5,35.3,508
Chittagong (IAP-Patenga),1953,6,33.4,527
Chittagong (IAP-Patenga),1953,7,35.2,764
Chittagong (IAP-Patenga),1953,8,33.2,529
Chittagong (IAP-Patenga),1953,9,33.6,622
Chittagong (IAP-Patenga),1953,10,32.6,315
Chittagong (IAP-Patenga),1953,11,31.7,17
Chittagong (IAP-Patenga),1953,12,30.1,0
Comilla,1953,1,26.1,2
Comilla,1953,2,32.8,2
Comilla,1953,3,35.6,29
Comilla,1953,4,34.4,20
Comilla,1953,5,36.7,225
Comilla,1953,6,34.4,661
Comilla,1953,7,34.4,612
Comilla,1953,8,34,370
Comilla,1953,9,33.9,493
Comilla,1953,10,32.3,147
Comilla,1953,11,30.2,0
Comilla,1953,12,32.2,42
Cox's Bazar,1953,1,29.4,2
Cox's Bazar,1953,2,30.6,0
Cox's Bazar,1953,3,32.8,0
Cox's Bazar,1953,4,33.9,6
Cox's Bazar,1953,5,33.9,455
Cox's Bazar,1953,6,32.8,722
Cox's Bazar,1953,7,33.4,1084
Cox's Bazar,1953,8,32.9,606
Cox's Bazar,1953,9,32.8,401
Cox's Bazar,1953,10,34.1,99
